2021-05-20T11:56:14,217 TRACE [Test worker]: OfficeController                     - > getAllOffices - method entered. 
2021-05-20T11:56:14,234 TRACE [Test worker]: OfficeController                     - > getAllOffices - result = [OfficeDTO(super=BaseDTO(id=1), officeNumber=23A, address=street 34), OfficeDTO(super=BaseDTO(id=2), officeNumber=25B, address=street 25)]. 
2021-05-20T13:04:37,272 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:04:37,288 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:05:02,402 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:05:02,418 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:05:30,097 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:05:30,113 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:06:02,999 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:06:03,014 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:06:48,535 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:06:48,549 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:08:19,993 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:08:20,011 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:10:12,105 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:10:12,126 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:11:33,573 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:11:33,591 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:11:41,690 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:11:41,722 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:12:30,213 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:12:30,245 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:13:34,336 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:13:34,355 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:16:49,112 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:16:49,126 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:16:49,329 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:16:49,330 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:43:33,447 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:43:33,471 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:43:33,860 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female) 
2021-05-20T13:43:33,861 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T13:43:33,863 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T13:43:33,864 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T13:43:33,920 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:43:33,920 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T13:45:56,311 WARN  [Test worker]: PageNotFound                         - Request method 'POST' not supported 
2021-05-20T13:45:56,421 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:45:56,428 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T13:45:56,657 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:45:56,658 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = []. 
2021-05-20T13:45:56,737 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T13:45:56,738 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
